generation,first_front_size,best_preference,min_cost,min_time,min_co2,avg_penalty,avg_nutrient_penalty,avg_diversity_penalty,avg_diversity,front_objectives,algorithm,user_id,diversity_label,archive_size,non_dominated_size,average_penalty,average_diversity,hypervolume
10,20.0,80.8,6.840000000000001,35.0,11.3,0.8231625162043417,0.7480001785420038,0.0751623376623376,7.85,"[[-80.61516627204546, 33.274833727954544, 405.1848337279545], [-11.646074125840547, 16.053925874159454, 38.85392587415945], [-36.12027666666667, 9.539723333333333, 540.1797233333333], [-5.009276882874692, 12.840723117125306, 68.8907231171253], [-74.09238638411973, 26.477613615880266, 585.3076136158803], [-63.988595812083325, 41.361404187916655, 395.4114041879167], [-36.10915368076923, 13.430846319230769, 368.3908463192308], [-63.45609308056133, 29.243906919438658, 273.34390691943867], [-56.307138120879124, 24.732861879120883, 520.1928618791209], [-63.988595812083325, 41.361404187916655, 395.4114041879167], [-8.903208117724093, 10.73679188227591, 73.8967918822759], [-77.63729293564677, 26.73270706435324, 430.36270706435323], [-14.8006028, 11.8293972, 155.1993972], [-46.948835317500006, 21.581164682500003, 227.3511646825], [-40.08582461666667, 17.35417538333333, 242.11417538333333], [-68.4470800293289, 25.542919970671104, 485.2529199706711], [-48.4925587211874, 22.667441278812607, 375.30744127881263], [-19.768790000000003, 9.63121, 480.33121], [-25.999999999999996, 12.389999999999999, 385.1], [-38.41980029993589, 19.070199700064105, 192.3801997000641]]",nsga2,1,div_on,,,,,2199798.691449017
11,20.0,80.8,6.840000000000001,35.0,11.3,0.6314301002375503,0.5566339241913741,0.074796176046176,7.7,"[[-80.61516627204546, 33.274833727954544, 405.1848337279545], [-11.646074125840547, 16.053925874159454, 38.85392587415945], [-36.12027666666667, 9.539723333333333, 540.1797233333333], [-74.09238638411973, 26.477613615880266, 585.3076136158803], [-8.903208117724093, 10.73679188227591, 73.8967918822759], [-80.61516627204546, 33.274833727954544, 405.1848337279545], [-56.307138120879124, 24.732861879120883, 520.1928618791209], [-14.8006028, 11.8293972, 155.1993972], [-64.55969217551912, 29.470307824480873, 300.24030782448085], [-48.93749999999999, 21.232499999999998, 351.0625], [-63.45609308056133, 29.243906919438658, 273.34390691943867], [-46.948835317500006, 21.581164682500003, 227.3511646825], [-19.768790000000003, 9.63121, 480.33121], [-25.9680742, 15.0819258, 249.1319258], [-77.63729293564677, 26.73270706435324, 430.36270706435323], [-43.638568500000005, 17.931431499999995, 490.3614315], [-29.080499016666668, 17.20950098333333, 353.4195009833333], [-68.4470800293289, 25.542919970671104, 485.2529199706711], [-36.10915368076923, 13.430846319230769, 368.3908463192308], [-38.41980029993589, 19.070199700064105, 192.3801997000641]]",nsga2,1,div_on,,,,,2207395.758510756
12,20.0,80.8,6.840000000000001,35.0,11.3,0.6131172800817061,0.5393519481913742,0.0737653318903318,7.9,"[[-80.61516627204546, 33.274833727954544, 405.1848337279545], [-11.646074125840547, 16.053925874159454, 38.85392587415945], [-36.12027666666667, 9.539723333333333, 540.1797233333333], [-8.903208117724093, 10.73679188227591, 73.8967918822759], [-80.61516627204546, 33.274833727954544, 405.1848337279545], [-60.15454545454545, 22.755454545454548, 647.0454545454545], [-14.8006028, 11.8293972, 155.1993972], [-64.55969217551912, 29.470307824480873, 300.24030782448085], [-56.307138120879124, 24.732861879120883, 520.1928618791209], [-36.10915368076923, 13.430846319230769, 368.3908463192308], [-74.09238638411973, 26.477613615880266, 585.3076136158803], [-25.9680742, 15.0819258, 249.1319258], [-77.63729293564677, 26.73270706435324, 430.36270706435323], [-19.768790000000003, 9.63121, 480.33121], [-49.851866041071425, 19.958133958928574, 340.14813395892855], [-29.080499016666668, 17.20950098333333, 353.4195009833333], [-50.284748725, 26.145251275, 445.215251275], [-63.45609308056133, 29.243906919438658, 273.34390691943867], [-68.4470800293289, 25.542919970671104, 485.2529199706711], [-38.41980029993589, 19.070199700064105, 192.3801997000641]]",nsga2,1,div_on,,,,,2198472.610746423
13,20.0,80.8,6.840000000000001,35.0,11.3,0.6003880355783561,0.5309580211483416,0.0694300144300144,8.35,"[[-80.61516627204546, 33.274833727954544, 405.1848337279545], [-11.646074125840547, 16.053925874159454, 38.85392587415945], [-8.903208117724093, 10.73679188227591, 73.8967918822759], [-80.61516627204546, 33.274833727954544, 405.1848337279545], [-60.15454545454545, 22.755454545454548, 647.0454545454545], [-30.916666666666668, 8.763333333333334, 340.0833333333333], [-14.8006028, 11.8293972, 155.1993972], [-19.105475060074852, 21.754524939925147, 165.29452493992514], [-68.4470800293289, 25.542919970671104, 485.2529199706711], [-74.09238638411973, 26.477613615880266, 585.3076136158803], [-45.01133254753793, 27.108667452462058, 300.08866745246206], [-36.10915368076923, 13.430846319230769, 368.3908463192308], [-63.45609308056133, 29.243906919438658, 273.34390691943867], [-64.55969217551912, 29.470307824480873, 300.24030782448085], [-77.63729293564677, 26.73270706435324, 430.36270706435323], [-25.9680742, 15.0819258, 249.1319258], [-54.13689823, 23.83310177, 352.26310177], [-56.307138120879124, 24.732861879120883, 520.1928618791209], [-48.18991646846153, 18.770083531538464, 410.51008353153844], [-36.12027666666667, 9.539723333333333, 540.1797233333333]]",nsga2,1,div_on,,,,,2176641.1090501654
14,20.0,80.8,6.840000000000001,35.0,14.5,0.5817751285701066,0.5121367808067588,0.0696383477633477,8.25,"[[-80.61516627204546, 33.274833727954544, 405.1848337279545], [-11.646074125840547, 16.053925874159454, 38.85392587415945], [-8.903208117724093, 10.73679188227591, 73.8967918822759], [-80.61516627204546, 33.274833727954544, 405.1848337279545], [-60.15454545454545, 22.755454545454548, 647.0454545454545], [-30.916666666666668, 8.763333333333334, 340.0833333333333], [-68.4470800293289, 25.542919970671104, 485.2529199706711], [-74.09238638411973, 26.477613615880266, 585.3076136158803], [-77.63729293564677, 26.73270706435324, 430.36270706435323], [-46.8754205, 17.134579499999997, 250.1245795], [-20.363556000000003, 10.276444, 145.236444], [-21.78841925, 21.48158075, 152.11158075], [-64.55969217551912, 29.470307824480873, 300.24030782448085], [-36.10915368076923, 13.430846319230769, 368.3908463192308], [-25.9680742, 15.0819258, 249.1319258], [-63.45609308056133, 29.243906919438658, 273.34390691943867], [-56.307138120879124, 24.732861879120883, 520.1928618791209], [-34.37500325, 26.66499675, 225.12499675], [-51.04444444444444, 20.375555555555557, 297.05555555555554], [-48.18991646846153, 18.770083531538464, 410.51008353153844]]",nsga2,1,div_on,,,,,2258038.846450988
15,20.0,80.8,6.840000000000001,35.0,14.5,0.5487807983149173,0.4799361013452204,0.0688446969696969,8.35,"[[-80.61516627204546, 33.274833727954544, 405.1848337279545], [-11.646074125840547, 16.053925874159454, 38.85392587415945], [-8.903208117724093, 10.73679188227591, 73.8967918822759], [-80.61516627204546, 33.274833727954544, 405.1848337279545], [-60.15454545454545, 22.755454545454548, 647.0454545454545], [-30.916666666666668, 8.763333333333334, 340.0833333333333], [-74.09238638411973, 26.477613615880266, 585.3076136158803], [-68.4470800293289, 25.542919970671104, 485.2529199706711], [-20.363556000000003, 10.276444, 145.236444], [-36.10915368076923, 13.430846319230769, 368.3908463192308], [-64.55969217551912, 29.470307824480873, 300.24030782448085], [-77.63729293564677, 26.73270706435324, 430.36270706435323], [-41.637499999999996, 13.532499999999999, 463.0625], [-25.9680742, 15.0819258, 249.1319258], [-21.78841925, 21.48158075, 152.11158075], [-52.24444444444444, 18.505555555555556, 333.05555555555554], [-63.45609308056133, 29.243906919438658, 273.34390691943867], [-51.04444444444444, 20.375555555555557, 297.05555555555554], [-56.45000000000001, 24.38, 390.05], [-46.8754205, 17.134579499999997, 250.1245795]]",nsga2,1,div_on,,,,,2267718.9324334217
16,20.0,80.8,6.840000000000001,5.0,14.5,0.7378828334048724,0.6664389300859691,0.0714439033189033,8.1,"[[-80.61516627204546, 33.274833727954544, 405.1848337279545], [-8.903208117724093, 10.73679188227591, 73.8967918822759], [-80.61516627204546, 33.274833727954544, 405.1848337279545], [-60.15454545454545, 22.755454545454548, 647.0454545454545], [-30.916666666666668, 8.763333333333334, 340.0833333333333], [-16.626784362567832, 19.523215637432166, 8.673215637432168], [-11.646074125840547, 16.053925874159454, 38.85392587415945], [-77.63729293564677, 26.73270706435324, 430.36270706435323], [-56.45000000000001, 24.38, 390.05], [-42.170103292499995, 29.6398967075, 247.1298967075], [-36.10915368076923, 13.430846319230769, 368.3908463192308], [-68.4470800293289, 25.542919970671104, 485.2529199706711], [-74.09238638411973, 26.477613615880266, 585.3076136158803], [-63.45609308056133, 29.243906919438658, 273.34390691943867], [-23.94973858357143, 17.36026141642857, 173.15026141642858], [-46.8754205, 17.134579499999997, 250.1245795], [-32.30138892952521, 18.58861107047479, 225.2986110704748], [-20.363556000000003, 10.276444, 145.236444], [-25.9680742, 15.0819258, 249.1319258], [-52.24444444444444, 18.505555555555556, 333.05555555555554]]",nsga2,1,div_on,,,,,2308974.3239188995
17,20.0,80.8,6.840000000000001,5.0,13.4,0.7580166816437842,0.6902830957851983,0.0677335858585858,8.55,"[[-80.61516627204546, 33.274833727954544, 405.1848337279545], [-8.903208117724093, 10.73679188227591, 73.8967918822759], [-80.61516627204546, 33.274833727954544, 405.1848337279545], [-30.916666666666668, 8.763333333333334, 340.0833333333333], [-16.626784362567832, 19.523215637432166, 8.673215637432168], [-74.46387563814449, 26.33612436185553, 660.3361243618556], [-60.15454545454545, 22.755454545454548, 647.0454545454545], [-68.4470800293289, 25.542919970671104, 485.2529199706711], [-74.09238638411973, 26.477613615880266, 585.3076136158803], [-20.363556000000003, 10.276444, 145.236444], [-57.14443789314872, 23.415562106851276, 527.0555621068513], [-30.688285612499996, 12.3617143875, 310.3117143875], [-11.646074125840547, 16.053925874159454, 38.85392587415945], [-77.63729293564677, 26.73270706435324, 430.36270706435323], [-36.10915368076923, 13.430846319230769, 368.3908463192308], [-49.93840161944445, 28.01159838055556, 275.1615983805556], [-32.30138892952521, 18.58861107047479, 225.2986110704748], [-63.45609308056133, 29.243906919438658, 273.34390691943867], [-42.170103292499995, 29.6398967075, 247.1298967075], [-56.45000000000001, 24.38, 390.05]]",nsga2,1,div_on,,,,,2225311.8203146677
18,20.0,80.8,6.840000000000001,5.0,14.5,0.9195760089659883,0.8464275601925395,0.0731484487734487,8.1,"[[-80.61516627204546, 33.274833727954544, 405.1848337279545], [-80.61516627204546, 33.274833727954544, 405.1848337279545], [-16.626784362567832, 19.523215637432166, 8.673215637432168], [-74.46387563814449, 26.33612436185553, 660.3361243618556], [-8.51786858866359, 12.382131411336408, 8.682131411336409], [-29.075000000000003, 7.665, 300.125], [-20.363556000000003, 10.276444, 145.236444], [-68.4470800293289, 25.542919970671104, 485.2529199706711], [-11.646074125840547, 16.053925874159454, 38.85392587415945], [-74.09238638411973, 26.477613615880266, 585.3076136158803], [-32.30138892952521, 18.58861107047479, 225.2986110704748], [-60.15454545454545, 22.755454545454548, 647.0454545454545], [-44.59792025000001, 12.502079750000002, 335.40207975], [-49.93840161944445, 28.01159838055556, 275.1615983805556], [-8.903208117724093, 10.73679188227591, 73.8967918822759], [-56.45000000000001, 24.38, 390.05], [-41.06638294835172, 18.223617051648283, 240.1336170516483], [-63.54566623583334, 32.89433376416667, 427.35433376416665], [-55.51790530000001, 20.672094700000006, 435.0820947], [-42.170103292499995, 29.6398967075, 247.1298967075]]",nsga2,1,div_on,,,,,2268014.958003986
19,20.0,80.8,6.840000000000001,5.0,14.5,0.9247909136849948,0.8494400839591648,0.0753508297258297,7.95,"[[-80.61516627204546, 33.274833727954544, 405.1848337279545], [-16.626784362567832, 19.523215637432166, 8.673215637432168], [-8.51786858866359, 12.382131411336408, 8.682131411336409], [-74.46387563814449, 26.33612436185553, 660.3361243618556], [-43.199999999999996, 7.14, 385.1], [-53.138088289739606, 40.75191171026039, 320.3619117102604], [-20.363556000000003, 10.276444, 145.236444], [-68.4470800293289, 25.542919970671104, 485.2529199706711], [-11.646074125840547, 16.053925874159454, 38.85392587415945], [-32.30138892952521, 18.58861107047479, 225.2986110704748], [-80.61516627204546, 33.274833727954544, 405.1848337279545], [-29.075000000000003, 7.665, 300.125], [-60.15454545454545, 22.755454545454548, 647.0454545454545], [-44.59792025000001, 12.502079750000002, 335.40207975], [-49.93840161944445, 28.01159838055556, 275.1615983805556], [-8.903208117724093, 10.73679188227591, 73.8967918822759], [-63.54566623583334, 32.89433376416667, 427.35433376416665], [-41.06638294835172, 18.223617051648283, 240.1336170516483], [-55.51790530000001, 20.672094700000006, 435.0820947], [-42.170103292499995, 29.6398967075, 247.1298967075]]",nsga2,1,div_on,,,,,2312358.911989953
