index,algorithm,user_id,diversity_label,max,last,mean
0,nsga2,1,div_off,2396746.377229165,2187510.4434928247,2268348.27631576
1,nsga2,1,div_on,2616869.55192702,2581705.5146829197,2314366.72047298
2,nsga2,97,div_off,2829441.195178861,2792467.854197753,2635645.5197075526
3,nsga2,97,div_on,3186801.275082768,3186801.275082768,2722353.3610460404
4,spea2,1,div_off,2948663.466599227,2944034.8578724177,2621988.673424357
5,spea2,1,div_on,2892178.1289816177,2881286.2349247388,2667204.0722241593
6,spea2,97,div_off,3117192.8306997204,3117192.8306997204,2779793.838142547
7,spea2,97,div_on,3322980.550180202,3322980.550180202,2871940.93124418
